计算机体系结构/并行与分布计算/存储系统	TOCS	ACM Transactions on Computer Systems	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tocs/
计算机体系结构/并行与分布计算/存储系统	TOS	ACM Transactions on Storage	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tos/
计算机体系结构/并行与分布计算/存储系统	TCAD	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tcad/
计算机体系结构/并行与分布计算/存储系统	TC	IEEE Transactions on Computers	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tc/index.html
计算机体系结构/并行与分布计算/存储系统	TPDS	IEEE Transactions on Parallel and Distributed Systems	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tpds/
计算机体系结构/并行与分布计算/存储系统	TACO	ACM Transactions on Architecture and Code Optimization	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/taco/
交叉/综合/新兴	JACM	Journal of the ACM	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/jacm/
计算机体系结构/并行与分布计算/存储系统	TAAS	ACM Transactions on Autonomous and Adaptive Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/taas/
交叉/综合/新兴	Proc. IEEE	Proceedings of the IEEE	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/pieee/
交叉/综合/新兴	SCIS	Science China Information Sciences	Journal	A	Science in China Press/Springer	http://dblp.uni-trier.de/db/journals/chinaf/
人工智能	AI	Artificial Intelligence	Journal	A	Elsevier	http://dblp.uni-trier.de/db/journals/ai/
计算机科学理论	TIT	IEEE Transactions on Information Theory	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tit/
计算机网络	JSAC	IEEE Journal on Selected Areas in Communications	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/jsac/
计算机体系结构/并行与分布计算/存储系统	TODAES	ACM Transactions on Design Automation of Electronic Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/todaes/
计算机体系结构/并行与分布计算/存储系统	TECS	ACM Transactions on Embedded Computing Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tecs/
交叉/综合/新兴		Bioinformatics	Journal	B	Oxford University Press	http://dblp.uni-trier.de/db/journals/bioinformatics/
人工智能	TPAMI	IEEE Transactions on Pattern Analysis and Machine Intelligence	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/pami/
